"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RYR3",122.304194928282,1.17684506109719,0.330668713288049,3.55898521331236,0.00037229048886164,0.0186774618036632
"MS4A4A",226.042873448582,-1.44905233078555,0.408256571568416,-3.54936682395257,0.000386158738147295,0.0186875159526555
"MYCN",29.2534077678166,1.10879231164298,0.312581789330241,3.54720700146593,0.000389338550568088,0.0186875159526555
"IL6",19.748012947812,-2.93842998227796,0.828414713455196,-3.54705189870687,0.000389567840694458,0.0186875159526555
"RYR2",250.308863257345,1.55893170485407,0.439144217596822,3.54993107591211,0.000385332022222743,0.0186875159526555
"ADAM12",949.898041980916,1.17381387429829,0.330592128109896,3.5506407276222,0.000384294621583406,0.0186875159526555
"FPR1",794.561008978774,-1.58798444358307,0.4484881133766,-3.54075034815833,0.000398990913045413,0.0189835105883482
"CPXM2",109.302241945422,1.36402390785339,0.385530021519731,3.53804848316744,0.000403096035580802,0.0190457571437481
"SAA3",3075.44293533553,-2.1516522447833,0.608936049598028,-3.53346175875719,0.000410155421051468,0.0192531133168637
"HSPB6",1046.9665582666,1.37154956513282,0.388258817904907,3.53256513923848,0.000411548823579291,0.0192668672514701
"NLGN1",10.9762381171105,1.1023908706406,0.312660613117901,3.52583863905142,0.000422144091848093,0.0195165219970947
"ADGRE2",55.7165311248116,1.03153887752192,0.292478314513308,3.52689011914756,0.000420471222418973,0.0195165219970947
"ISG15",4276.84754892363,-2.53347659281349,0.718657204147108,-3.52529213955377,0.000423016006724064,0.0195165219970947
"NKX3-2",94.208623815762,1.72450700372027,0.489698252215427,3.5215706732023,0.000428998299169296,0.0196630720567231
"PANX1",583.597064995371,-1.19896333671392,0.341095904738056,-3.51503292786426,0.000439699465806172,0.0197402511456417
"ABCA6",6852.47539994956,-1.08028669031498,0.307682098532319,-3.51104823929658,0.000446343394880945,0.0198281578425013
"SLAMF1",1446.80134658819,-1.0196646497624,0.290835118122263,-3.50598874147567,0.000454914461839266,0.019953635940658
"SYDE2",202.330552150488,1.08544532199125,0.309471946579166,3.50741103996506,0.000452489618222778,0.019953635940658
"PLA1A",2526.39247544322,-1.30480160721856,0.372072792746898,-3.50684498478272,0.000453453223934649,0.019953635940658
"DPCR1",6614.68376049369,1.58507190182354,0.452705323570893,3.50133258721292,0.000462937722683775,0.0201631258369906
"HECW1",30.0903309196977,1.67303201833476,0.479151242817798,3.49165747436233,0.000480033403736392,0.0205524706692318
"SYPL2",60.2212859854074,1.71783840137887,0.492849130553723,3.48552588385184,0.00049117070170135,0.0208230213464623
"RSAD2",2517.09176563061,-2.40328856175939,0.689496478257913,-3.48557046706252,0.000491088859073432,0.0208230213464623
"EFNB3",54.6015773093782,1.1320521416174,0.325388514379096,3.47907836813962,0.000503141426220985,0.0210227302508879
"FGF13",31.1792665740381,1.50004539643449,0.431395140709338,3.47719585799689,0.000506687541600018,0.0210227302508879
"CEBPD",1342.62651037281,-1.34884375655537,0.388426770372338,-3.47258185954176,0.000515477783969902,0.0211866209378615
"S100A6",8974.98600796979,-1.24612542536052,0.359783190101291,-3.46354543415354,0.000533106556864213,0.0217561598625181
"RBFOX1",23.0045230433598,1.53434540444783,0.443769152053809,3.45753055918087,0.000545150410054123,0.0219931763355706
"MYT1L",77.1113809602208,1.77364211009311,0.512967682536827,3.4576098465341,0.000544990013901141,0.0219931763355706
"CHRM2",180.924475769953,1.4644940665032,0.424546254872602,3.44955125547548,0.00056151912139354,0.0221933144390056
"MYOCD",183.340321628102,1.49286600772228,0.432759344872114,3.44964476310371,0.000561324677484557,0.0221933144390056
"C3AR1",285.242641696386,-1.51991075988816,0.440943219099516,-3.44695347167847,0.000566946213695757,0.0222570880170381
"UNC5CL",503.853011550919,-2.00544782534676,0.581961180949155,-3.44601648872173,0.000568915644912934,0.022284438538659
"LURAP1",34.7560739249509,1.29333624250458,0.376159844939026,3.43826237676758,0.000585460123799464,0.0227290938084364
"BCL2L14",349.067077896903,-1.06807901045244,0.310943015063755,-3.434967047687,0.000592625886567832,0.0228815867782184
"TYROBP",1988.75078310138,-1.26385218844162,0.368137139258585,-3.43310156369165,0.000596718526488891,0.0229110166855508
"FMOD",205.620884036997,1.97014044146088,0.57518257391525,3.42524361969138,0.000614248361205921,0.0233294458923091
"CD84",1461.35554742584,-1.18074711946804,0.345171761047403,-3.42075236944394,0.000624481654084796,0.0235647613822644
"SYNDIG1",51.6726879762019,-1.56829624272533,0.458972714595064,-3.41697053627465,0.000633221323254669,0.0237920003194549
"PGF",297.339083049003,-1.90532278535203,0.558417647639758,-3.41200317254511,0.00064487362701185,0.0240236007135117
"HMOX1",6106.92824944682,-1.33945691515078,0.392892551896824,-3.4092194130026,0.000651490580273889,0.0240677169866006
"FLNC",1317.01128782602,1.25831081945034,0.369048078037916,3.40961217340647,0.00065055318435134,0.0240677169866006
"ATP1A4",37.9192043483988,-1.83042142493163,0.537415727931466,-3.4059692148888,0.000659296130479785,0.0240736964578737
"MFAP4",2394.83522477228,1.1536435331336,0.338739905363195,3.40569125416939,0.000659967690889221,0.0240736964578737
"ITGA7",981.914518796921,1.24286862069589,0.365158248166244,3.40364383643897,0.000664933938687146,0.0240741479368793
"NPY1R",37.9142083475115,1.26740694506036,0.373775916621836,3.39082024469394,0.000696837893013656,0.0246708583836616
