"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FAM107A",654.069537553102,1.53631293583251,0.444409249202448,3.45697786126107,0.000546269725226255,0.0414982901263545
"PARP9",2462.66939504614,1.19107702210481,0.344507647861744,3.45733114924291,0.000545554005330327,0.0414982901263545
"FABP5",2345.03864454997,1.23669666141853,0.358324789794101,3.45132878506441,0.000557833564184565,0.0420265352984008
"CXCR2",68.8452493823516,1.57579109770184,0.458774420319916,3.43478412899088,0.000593026028997665,0.04359697806728
"SLC15A3",1830.61409266887,1.01561349993148,0.296019425598532,3.43090152910732,0.000601578932001507,0.043754934773774
"KBTBD12",50.3837036853527,1.84704856065553,0.538412874960114,3.4305430768021,0.000602374321424818,0.043754934773774
"SRGN",11036.9185865407,1.05666296068227,0.308120606170561,3.42938102652358,0.000604959593155081,0.0437683464381089
"DTX3L",2497.15138355734,1.10140213192361,0.321530438458372,3.42549880255336,0.000613671639186062,0.0442231672950209
"CLEC5A",121.094432041814,1.81207574124755,0.529945762616796,3.41936075174897,0.000627684495091141,0.0450548965137861
"SERPING1",15154.488574536,1.01632087122544,0.297666528089081,3.41429343013432,0.000639476645133099,0.0457213262512418
"TLR4",1438.39529367885,1.03530451351871,0.303336030062089,3.41306145961887,0.000642374534547176,0.0457491113822817
"CCDC180",898.630552812166,1.75053859327232,0.515199617935569,3.3977870563779,0.000679332758233302,0.0471557221276597
"OAS3",1941.39899611026,1.70305270749921,0.501429303380513,3.39639645313436,0.000682793857416588,0.0471557221276597
"MCP-1",2475.3135837609,1.9114477217023,0.562613486244285,3.39744383744181,0.000680185483278309,0.0471557221276597
"CP",17556.3686545045,1.04654762815016,0.309853935929564,3.3775515066817,0.000731342550894837,0.0493845829182025
